Year,Republican,Democrat,Independent,Independent/Other/No Pref/DK
1939,35,41,18,24
1940,35,41,19,24
1942,35,47,18,18
1943,35,44,20,20
1944,38,41,20,20
1945,33,43,15,24
1946,37,40,22,23
1947,36,40,23,24
1948,35,40,23,25
1949,32,45,19,23
1950,31,45,18,24
1951,31,40,,29
1952,33,42,,25
1953,32,46,,22
1954,31,46,,23
1955,32,45,,24
1956,33,43,,23
1957,33,44,21,23
1958,30,46,22,23
1959,29,46,23,24
1960,29,46,23,24
1961,28,51,20,21
1962,27,49,22,24
1963,26,49,23,25
1964,25,51,23,24
1965,25,50,24,25
1966,26,47,25,27
1967,27,42,28,30
1968,27,42,28,30
1969,27,41,29,32
1970,27,43,28,30
1971,25,43,29,32
1972,26,42,30,33
1973,24,41,31,35
1974,23,44,31,34
1975,21,43,33,36
1976,22,46,29,32
1977,21,46,30,33
1978,22,46,28,32
1979,21,44,32,36
1980,23,45,29,33
1981,27,41,30,33
1982,25,44,27,31
1983,24,43,30,33
1984,29,39,29,32
1985,32,34,29,33
1986,31,35,30,34
1987,30,35,31,35
1988,30,35,31,35
1989,32,34,30,34
1990,31,33,29,36
1991,31,31,33,38
1992,28,33,36,40
1993,27,34,34,39
1994,30,32,34,38
1995,31,30,33,39
1996,29,33,33,38
1997,28,33,32,39
1998,28,33,32,39
1999,27,34,34,40
2000,28,33,30,40
2001,29,34,29,37
2002,30,31,30,39
2003,30,31,31,39
2004,30,33,30,37
2005,29,33,30,38
2006,28,33,30,40
2007,25,33,34,42
2008,25,36,32,39
2009,24,34,35,42
2010,25,33,35,42
2011,24,32,37,43
2012,25,33,36,43
2013,24,32,38,44
2014,23,32,40,45
,,,,
Note: 1939-1989 yearly averages from the Gallup Organization interactive website. 1990-2014 yearly totals from Pew Research Center aggregate files. Based on the general public. Data unavailable for 1941. Independent data unavailable for 1951-1956. ,,,,
